ID,Bleed_date,Who,Bleed_stage,Mass,#1,#2,#3,#4,#5,#6,#7,#8,TotalHemo,AvgHemo,Hemo_ul,LogHemo,G,P,S,O,PropPlasm,PropOeno,PropGran,PropSpher,Notes
3,3-Jun,IR,Larva,,171,378,360,229,387,191,121,198,2035,254.375,25437.5,4.405491499,76,18,5,1,0.18,0.01,0.76,0.05,
7,4-Jul,IR,Larva,,213,181,270,248,139,225,167,152,1595,199.375,19937.5,4.299692483,106,23,11,4,0.159722222,0.027777778,0.736111111,0.076388889,
8,8-Jun,MRS,Larva,1.105,2,1,1,3,1,1,2,2,,,,,,,,,,,,,"""Spheroid"" ??"
8,4-Jul,SA,Larva,1.2157,138,78,109,126,150,162,117,84,964,120.5,12050,4.081023086,77,24,6,8,0.208695652,0.069565217,0.669565217,0.052173913,
11,3-Jun,IR,Larva,1.467,281,241,182,138,147,155,171,182,1497,187.125,18712.5,4.272155022,88,11,7,2,0.101851852,0.018518519,0.814814815,0.064814815,
17,4-Jul,IR,Larva,1.572,108,120,171,159,122,113,112,91,996,124.5,12450,4.095204233,109,23,14,4,0.153333333,0.026666667,0.726666667,0.093333333,
23,3-Jun,IR,Larva,,120,155,125,101,222,129,167,165,1184,148,14800,4.170291059,86,10,5,2,0.097087379,0.019417476,0.834951456,0.048543689,
24,3-Jun,IR,Larva,,154,297,167,120,183,288,194,97,1500,187.5,18750,4.273024434,65,24,7,4,0.24,0.04,0.65,0.07,
25,3-Jun,IR,Larva,,105,99,108,91,50,62,86,68,669,83.625,8362.5,3.922388061,54,37,7,2,0.37,0.02,0.54,0.07,
27,3-Jun,IR,Larva,,104,121,126,120,110,77,93,114,865,108.125,10812.5,4.033966285,96,11,6,4,0.094017094,0.034188034,0.820512821,0.051282051,
28,3-Jun,IR,Larva,1.518,88,93,113,96,91,97,113,53,744,93,9300,3.968529644,83,16,11,2,0.142857143,0.017857143,0.741071429,0.098214286,
30,3-Jun,IR,Larva,,77,116,141,93,74,71,132,82,786,98.25,9825,3.99237676,79,6,11,4,0.06,0.04,0.79,0.11,
35,4-Jul,IR,Larva,1.408,119,138,193,119,76,53,79,48,825,103.125,10312.5,4.013406073,59,56,5,0,0.466666667,0,0.491666667,0.041666667,
