ID,Date Bled,Mass (g),AvgOE,OE_ul,LogOE,Notes,
1,9-Jun,1.2995,0,0,0,,
2,9-Jun,1.2433,0,0,0,,
6,9-Jun,1.2101,0,0,0,,
13,7-Jun,1.0045,0,0,0,,
15,9-Jun,1.2352,0,0,0,,
19,9-Jun,1.059,0,0,0,,
36,7-Jun,,0,0,0,,
44,8-Jun,1.1571,0,0,0,Mostly plasmatocytes ,
50,9-Jun,1.1538,0,0,0,,
51,9-Jun,,0,0,0,,
56,7-Jun,0.9965,0,0,0,,
58,7-Jun,,0,0,0,,
70,9-Jun,1.3224,0,0,0,,
104,11-Jun,1.2962,0.5,50,1.707570176,"Lipid Contamination, all merozoites",
107,11-Jun,1.3166,35.125,3512.5,3.545739958,"Lipid Contamination, all merozoites",
114,13-Jun,1.5655,26.25,2625,3.419294722,,
116,10-Jun,1.5023,0,0,0,Lipid Contamination,
116,10-Jun,1.5023,0,0,0,lipid contamination,
121,10-Jun,0.9849,0,0,0,,
121,10-Jun,0.9849,0,0,0,,
124,10-Jun,1.3795,0,0,0,,
124,10-Jun,1.3795,0,0,0,,
127,10-Jun,1.4973,0,0,0,,
127,10-Jun,1.4973,0,0,0,,
128,11-Jun,1.1805,0.125,12.5,1.130333768,all merozoites,
131,10-Jun,1.281,0.25,25,1.414973348,2m,
132,11-Jun,1.2688,1.125,112.5,2.054995862,"Lipid Contamination, all merozoites",
138,11-Jun,1.3485,2.125,212.5,2.329397879,all merozoites,
140,10-Jun,1.227,0,0,0,5m,
140,10-Jun,1.227,0.625,62.5,1.802773725,5m,
141,9-Jun,0.9777,0,0,0,,
147,10-Jun,1.2927,5.625,562.5,2.75089392,"Lipid Contamination, 45m and 5s",Used 45 merozoites as total OE
151,13-Jun,1.5004,0,0,0,,
157,13-Jun,1.5448,0,0,0,,
163,11-Jun,1.6226,7.5,750,2.875639937,"Lipid Contamination, all merozoites",
166,13-Jun,1.3991,0,0,0,,
169,11-Jun,1.2872,20,2000,3.301247089,"Lipid Contamination, all merozoites",
170,11-Jun,1.4627,34.625,3462.5,3.539515192,"Lipid Contamination, all merozoites",
192,11-Jun,1.2443,0.375,37.5,1.58546073,,
193,11-Jun,1.3524,172,17200,4.235553696,,
208,11-Jun,1.3989,133.875,13387.5,4.126731923,Lipid Contamination,
210,11-Jun,1.0668,93.75,9375,3.972017599,,
218,11-Jun,1.3904,3.25,325,2.5132176,Lipid Contamination,
224,11-Jun,1.3417,31,3100,3.491501766,Lipid Contamination,
225,11-Jun,1.6313,0.125,12.5,1.130333768,Melanizing,
228,13-Jun,1.512,151.125,15112.5,4.17936505,,
239,13-Jun,1.0983,131.375,13137.5,4.118545785,,
240,11-Jun,1.2876,2.5,250,2.399673721,all merozoites,
242,13-Jun,1.498,0,0,0,,
243,13-Jun,1.0189,0,0,0,,
244,13-Jun,1.4703,0,0,0,,
248,13-Jun,0.9347,0,0,0,,
252,11-Jun,1.4346,9.75,975,2.989449818,,
253,11-Jun,1.4518,86.5,8650,3.937066312,Lipid Contamination,
256,13-Jun,1.485,14.125,1412.5,3.150295813,,
263,13-Jun,1.7005,0,0,0,,
266,13-Jun,1.3066,15.375,1537.5,3.187097501,,
267,13-Jun,1.4695,4.625,462.5,2.666049738,,
269,13-Jun,1.4848,22.5,2250,3.352375495,,
270,13-Jun,1.2706,5.875,587.5,2.769746467,,
271,20-Jun,1.4173,0,0,0,Lipids,
274,20-Jun,1.5962,0,0,0,,
283,21-Jun,1.257,32.875,3287.5,3.516997846,Lipid Contamination,
284,20-Jun,1.4835,0,0,0,,
289,19-Jun,1.27,0,0,0,,
292,23-Jun,1.2576,29.125,2912.5,3.464415022,,
298,21-Jun,1.3433,6,600,2.778874472,,
300,21-Jun,1.3834,208,20800,4.318084214,not enough for PO,
311,19-Jun,1.4577,16,1600,3.204391332,,
313,20-Jun,1.1182,3.75,375,2.575187845,,
314,19-Jun,1.2681,405,40500,4.607465746,,
318,20-Jun,1.3056,131.125,13112.5,4.117718621,,
323,19-Jun,1.2855,0.375,37.5,1.58546073,,
326,20-Jun,1.5689,35.625,3562.5,3.551876763,Lipids,
328,20-Jun,1.3019,0,0,0,,
345,24-Jun,1.2004,0.625,62.5,1.802773725,,
347,21-Jun,1.342,341.625,34162.5,4.533562357,,
352,24-Jun,1.1973,0.5,50,1.707570176,,
362,1-Jul,1.3794,0,0,0,,
365,3-Jul,1.2337,0,0,0,,
371,1-Jul,1.2929,179.375,17937.5,4.253786125,,
374,1-Jul,1.3725,10.625,1062.5,3.026737494,85 merozoites; 40 gamonts,subtracted 40 from total OE
391,28-Jun,1.1309,0,0,0,,
393,28-Jun,1.3834,0,0,0,,
394,29-Jun,1.2865,0,0,0,,
396,30-Jun,1.6050,0,0,0,,
398,29-Jun,1.4080,7.625,762.5,2.882809041,,
417,28-Jun,1.4669,1,100,2.004321374,lipid contamination,
421,1-Jul,1.4094,0,0,0,,
422,30-Jun,1.5070,0,0,0,,
424,1-Jul,1.3320,0,0,0,,
426,2-Jul,1.3390,0,0,0,lipid contamination,
429,30-Jun,1.2193,0,0,0,,
432,29-Jun,1.2759,1.125,112.5,2.054995862,lipids,
433,30-Jun,1.2666,140,14000,4.146159056,,
437,28-Jun,1.2978,57.75,5775,3.761627185,,
439,2-Jul,1.4382,42,4200,3.623352682,,
446,1-Jul,1.4852,1.625,162.5,2.213517757,,
