,ID,Temp,Lineage,OE_strain,Inoculation,Into_pint,Bleed_stage.x,Bleed_date.x,Death_date,Pupation_date,Eclosion_date,Surv_pupa,Surv_adult,Wing_deformity,Adult_death_date,Sex,Infection_status,OE_score,Dev_pupa,Dev_adult,Adult_longevity,NOTES,Bleed_date.y,Who,Bleed_stage.y,Mass,AvgHemo,Hemo_ul,LogHemo,PropPlasm,PropOeno,Initials,Date,AvgOE_count,Spore_load,logSpore_load,Area,Length,Breadth,AspectRatio,FinalAbsorbance,PropSpher,PropGran
1,1,34,B,control,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/5/2019,6/12/2019,1,1,1,6/27/2019,F,0,0,7,14,15,NA,6/9/2019,SA,Pupa,1.2995,3.125,32.25,1.508529719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,34,B,control,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/5/2019,6/11/2019,1,1,2,6/21/2019,M,0,0,7,13,10,NA,6/9/2019,SA,Pupa,1.2433,1.875,19.75,1.2955671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.999,NA,NA
3,3,34,B,control,5/29/2019,5/30/2019,Larva,6/3/2019,6/5/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,Death as dark pupa,6/3/2019,IR,Larva,NA,254.375,2544.75,3.405645123,0.18,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.541,0.05,0.76
4,4,34,B,control,5/29/2019,5/30/2019,Pupa,NA,6/7/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"death- wrinkled, dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,34,B,control,5/29/2019,5/30/2019,None,NA,NA,6/5/2019,6/11/2019,1,1,3,6/20/2019,F,0,0,7,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,34,B,control,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/5/2019,6/11/2019,1,1,2,6/17/2019,M,0,0,7,13,6,dead adult- pretty deformed,6/9/2019,SA,Pupa,1.2101,3.5,36,1.556302501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.049,NA,NA
7,7,34,B,control,5/29/2019,5/30/2019,Larva,6/4/2019,NA,6/5/2019,6/11/2019,1,1,2,6/18/2019,F,0,0,7,13,7,NA,6/4/2019,IR,Larva,NA,199.375,1994.75,3.299888474,0.159722222,0.027777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076388889,0.736111111
8,8,34,B,control,5/29/2019,5/30/2019,Pupa,6/8/2019,NA,6/4/2019,6/10/2019,1,1,2,6/19/2019,F,0,0,6,12,9,NA,6/8/2019,MRS,Pupa,1.105,1.5,16,1.204119983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.609,NA,NA
9,9,34,B,control,5/29/2019,5/30/2019,None,NA,NA,6/5/2019,6/11/2019,1,1,0,6/20/2019,F,0,0,7,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698.29,46.24,23.36,1.98,NA,NA,NA
10,10,34,B,control,5/29/2019,5/30/2019,Larva,NA,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as 4th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,34,B,E3,5/29/2019,5/30/2019,Larva,6/3/2019,6/4/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,Death as fail to pupate,6/3/2019,IR,Larva,1.467,187.125,1872.25,3.272363839,0.101851852,0.018518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217,0.064814815,0.814814815
12,12,34,B,E3,5/29/2019,5/30/2019,None,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as dark caterpillar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,34,B,E3,5/29/2019,5/30/2019,Pupa,6/7/2019,6/9/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,death- pupa turned black,6/7/2019,IR,Pupa,1.0045,3,31,1.491361694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.312,NA,NA
14,14,34,B,E3,5/29/2019,5/30/2019,None,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as 4th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,34,B,E3,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lost pint; death date recorded as 6/1?,6/9/2019,SA,Pupa,1.2352,3,31,1.491361694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,34,B,E3,5/29/2019,5/30/2019,Pupa,NA,6/5/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,death as brown pupa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,34,B,E3,5/29/2019,5/30/2019,Larva,6/4/2019,NA,6/5/2019,6/11/2019,1,1,3,6/21/2019,F,0,0,7,13,10,NA,6/4/2019,IR,Larva,1.572,124.5,1246,3.095518042,0.153333333,0.026666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.437,0.093333333,0.726666667
18,18,34,B,E3,5/29/2019,5/30/2019,None,NA,6/6/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,Death as black pupa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,34,B,E3,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/4/2019,6/10/2019,1,1,3,6/10/2019,NA,NA,NA,6,12,NA,dead pupa- can see wings,6/9/2019,SA,Pupa,1.059,1.625,17.25,1.236789099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149,NA,NA
20,20,34,B,E3,5/29/2019,5/30/2019,None,NA,6/14/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,dead- brown pupa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,34,B,E10,5/29/2019,5/31/2019,Pupa,6/8/2019,6/12/2019,6/6/2019,NA,1,0,NA,NA,NA,NA,NA,8,NA,NA,dead pupa- turned brown and white,6/8/2019,MRS,Pupa,1.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,34,B,E10,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,2,6/19/2019,M,0,0,6,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,6/7/2019,6/5/2019,NA,1,0,NA,NA,NA,NA,NA,7,NA,NA,death- brown pupa,6/3/2019,IR,Larva,NA,148,1481,3.170555059,0.097087379,0.019417476,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,0.048543689,0.834951456
24,24,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,1,6/21/2019,M,0,0,7,13,10,NA,6/3/2019,IR,Larva,NA,187.5,1876,3.273232834,0.24,0.04,NA,NA,NA,NA,NA,812.19,49.28,25.55,1.93,1.452,0.07,0.65
25,25,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/12/2019,1,1,2,6/21/2019,M,0,0,7,14,9,NA,6/3/2019,IR,Larva,NA,83.625,837.25,2.922855156,0.37,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.198,0.07,0.54
26,26,34,B,E10,5/29/2019,5/30/2019,Pupa,NA,6/6/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as 4th hanging from leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,2,6/17/2019,M,0,0,7,13,6,dead adult- slightly deformed,6/3/2019,IR,Larva,NA,108.125,1082.25,3.034327594,0.094017094,0.034188034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.867,0.051282051,0.820512821
28,28,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,0,6/22/2019,M,0,0,7,13,11,NA,6/3/2019,IR,Larva,1.518,93,931,2.968949681,0.142857143,0.017857143,NA,NA,NA,NA,NA,768.95,49.56,24.45,2.03,1.995,0.098214286,0.741071429
29,29,34,B,E10,5/29/2019,5/30/2019,Pupa,6/8/2019,NA,6/5/2019,6/11/2019,1,1,0,6/25/2019,F,0,0,7,13,14,NA,6/8/2019,MRS,Pupa,1.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790.88,49.58,24.55,2.02,NA,NA,NA
30,30,34,B,E10,5/29/2019,5/30/2019,Larva,6/3/2019,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as failed to pupate,6/3/2019,IR,Larva,NA,98.25,983.5,2.992774364,0.06,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,0.11,0.79
31,31,34,D,control,5/29/2019,5/30/2019,None,NA,NA,6/5/2019,6/11/2019,1,1,2,6/15/2019,F,0,0,7,13,4,dead adult- slightly deformed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,34,D,control,5/29/2019,5/30/2019,Pupa,NA,6/7/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death as 4th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,34,D,control,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,0,6/23/2019,F,0,0,6,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.95,43.31,21.78,1.99,NA,NA,NA
34,34,34,D,control,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,1,6/19/2019,M,0,0,6,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,34,D,control,5/29/2019,5/30/2019,Larva,6/4/2019,NA,6/5/2019,6/11/2019,1,1,2,6/20/2019,F,0,0,7,13,9,NA,6/4/2019,IR,Larva,1.408,103.125,1032.25,3.013784892,0.466666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.245,0.041666667,0.491666667
36,36,34,D,control,5/29/2019,5/30/2019,Pupa,6/7/2019,NA,6/4/2019,6/10/2019,1,1,0,6/24/2019,M,0,0,6,12,14,NA,6/7/2019,IR,Pupa,NA,3.75,38.5,1.58546073,NA,NA,NA,NA,NA,NA,NA,747.69,48.96,24.04,2.04,1.301,NA,NA
37,37,34,D,control,5/29/2019,5/30/2019,Larva,6/4/2019,NA,6/5/2019,6/11/2019,1,1,2,6/24/2019,M,0,0,7,13,13,NA,6/4/2019,IR,Larva,1.4441,129.25,1293.5,3.111766433,0.462264151,0.018867925,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.395,0.037735849,0.481132075
38,38,34,D,control,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,1,6/24/2019,F,0,0,6,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,34,D,control,5/29/2019,5/30/2019,Pupa,6/8/2019,NA,6/4/2019,6/10/2019,1,1,1,6/29/2019,F,0,0,6,12,19,NA,6/8/2019,MRS,Pupa,1.1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,34,D,control,5/29/2019,5/30/2019,Pupa,6/8/2019,NA,6/4/2019,6/10/2019,1,1,3,6/17/2019,M,0,0,6,12,7,dead adult- pretty deformed,6/8/2019,MRS,Pupa,1.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271,NA,NA
41,41,34,D,E3,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,2,6/24/2019,M,0,0,6,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,34,D,E3,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,0,6/25/2019,F,0,0,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.37,49.37,23.83,2.07,NA,NA,NA
43,43,34,D,E3,5/29/2019,5/30/2019,Pupa,6/7/2019,NA,6/4/2019,6/10/2019,1,1,2,6/21/2019,M,0,0,6,12,11,NA,6/7/2019,IR,Pupa,1.1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.769,NA,NA
44,44,34,D,E3,5/29/2019,5/30/2019,Pupa,6/8/2019,6/9/2019,6/4/2019,NA,1,0,NA,NA,NA,NA,NA,6,NA,NA,dead pupa turned black,6/8/2019,IR,Pupa,1.1571,10.5,106,2.025305865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA
45,45,34,D,E3,5/29/2019,5/30/2019,None,NA,NA,6/5/2019,6/10/2019,1,1,3,6/20/2019,M,0,0,7,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,34,D,E3,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,3,6/20/2019,F,0,0,6,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,34,D,E3,5/29/2019,5/30/2019,Larva,6/4/2019,6/7/2019,6/5/2019,NA,1,0,NA,NA,NA,NA,NA,7,NA,NA,death- brown/melted pupa,6/4/2019,IR,Larva,1.337,83.875,839.75,2.924150013,0.5,0.00862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.944,0.025862069,0.465517241
48,48,34,D,E3,5/29/2019,5/30/2019,Pupa,NA,NA,6/4/2019,6/10/2019,1,1,1,6/25/2019,F,0,0,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,49,34,D,E3,5/29/2019,5/30/2019,Pupa,6/8/2019,NA,6/4/2019,6/10/2019,1,1,0,6/20/2019,F,0,0,6,12,10,NA,6/8/2019,MRS,Pupa,0.7926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594.61,43.7,20.97,2.08,1.001,NA,NA
50,50,34,D,E3,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/4/2019,6/11/2019,1,1,3,6/12/2019,F,NA,NA,6,13,1,dead adult nugget,6/9/2019,SA,Pupa,1.1538,1,11,1.041392685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,51,34,D,E10,5/29/2019,5/30/2019,Pupa,6/9/2019,NA,6/4/2019,6/11/2019,1,1,2,6/21/2019,F,0,0,6,13,10,NA,6/9/2019,SA,Pupa,NA,0.125,2.25,0.352182518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.337,NA,NA
52,52,34,D,E10,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,0,6/21/2019,F,0,0,6,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704.69,46.59,23.4,1.99,NA,NA,NA
53,53,34,D,E10,5/29/2019,5/30/2019,Larva,6/4/2019,NA,6/6/2019,6/12/2019,1,1,2,6/19/2019,M,0,0,8,14,7,NA,6/4/2019,IR,Larva,NA,121.75,1218.5,3.085825534,0.258928571,0.035714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080357143,0.625
54,54,34,D,E10,5/29/2019,5/30/2019,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death in inoc dish _ not replaced 6/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,55,34,D,E10,5/29/2019,5/30/2019,None,NA,NA,6/4/2019,6/10/2019,1,1,1,6/15/2019,F,0,0,6,12,5,dead adult- slightly deformed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,56,34,D,E10,5/29/2019,5/30/2019,Pupa,6/7/2019,NA,6/4/2019,6/4/2019,1,0,3,6/10/2019,NA,NA,NA,6,NA,NA,failed to eclose,6/7/2019,IR,Pupa,0.9965,4,41,1.612783857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,57,34,D,E10,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,2,6/21/2019,M,0,0,7,13,10,NA,6/3/2019,IR,Larva,NA,112,1121,3.049605613,0.24,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.08,0.64
58,58,34,D,E10,5/29/2019,5/30/2019,Pupa,6/7/2019,NA,6/5/2019,6/11/2019,1,1,0,6/27/2019,F,0,0,7,13,16,NA,6/7/2019,IR,Pupa,NA,6.25,63.5,1.802773725,NA,NA,NA,NA,NA,NA,NA,734.84,48.02,23.85,2.01,2.538,NA,NA
59,59,34,D,E10,5/29/2019,5/30/2019,Larva,6/4/2019,6/7/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death- brown caterpillar,6/4/2019,IR,Larva,NA,66.625,667.25,2.824288582,0.175438596,0.00877193,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904,0.114035088,0.701754386
60,60,34,D,E10,5/29/2019,5/30/2019,None,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as stretched/dry hanging caterpillar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,61,34,F,control,5/29/2019,5/30/2019,Pupa,NA,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,dead 4th instar- hanging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,62,34,F,control,5/29/2019,5/30/2019,None,NA,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"death as 4th, brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,63,34,F,control,5/29/2019,5/30/2019,Larva,6/5/2019,6/6/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 4th, brown",6/5/2019,IR,Larva,0.2921,13,131,2.117271296,0.165048544,0.029126214,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835,0.291262136,0.514563107
64,64,34,F,control,5/29/2019,5/30/2019,Pupa,NA,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as 3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,34,F,control,5/29/2019,5/30/2019,None,NA,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death as 3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,67,34,F,control,5/29/2019,5/30/2019,Pupa,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,68,34,F,control,5/29/2019,5/30/2019,Larva,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as dried up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,69,34,F,control,5/29/2019,5/30/2019,Larva,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as dark caterpillar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,70,34,F,control,5/29/2019,5/30/2019,Pupa,6/9/2019,6/11/2019,6/5/2019,NA,1,0,NA,NA,NA,NA,NA,7,NA,NA,dead brown pupa,6/9/2019,SA,Pupa,1.3224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.172,NA,NA
71,71,34,F,E3,5/29/2019,5/31/2019,Larva,6/4/2019,6/14/2019,6/6/2019,NA,1,0,NA,NA,NA,NA,NA,8,NA,NA,dead brown pupa,6/4/2019,IR,Larva,NA,143,1431,3.155639634,0.386554622,0.008403361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058823529,0.546218487
72,72,34,F,E3,5/29/2019,5/30/2019,None,NA,6/7/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death as 4th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,73,34,F,E3,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/12/2019,1,1,2,6/22/2019,M,0,0,7,14,10,NA,6/3/2019,IR,Larva,NA,76.75,768.5,2.885643872,0.14159292,0.017699115,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,0.053097345,0.787610619
74,74,34,F,E3,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,2,6/17/2019,M,0,0,7,13,6,dead adult- slightly deformed,6/3/2019,IR,Larva,NA,11.25,113.5,2.054995862,0.256410256,0.017094017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162393162,0.564102564
75,75,34,F,E3,5/29/2019,5/30/2019,None,NA,6/7/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,dead caterpillar- wrinkled hanging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,76,34,F,E3,5/29/2019,5/30/2019,Pupa,NA,6/6/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 4th, hang from leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,77,34,F,E3,5/29/2019,5/30/2019,Larva,6/4/2019,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 4th, dark brown caterpillar",6/4/2019,IR,Larva,NA,121.75,1218.5,3.085825534,0.135135135,0.054054054,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,0.099099099,0.711711712
78,78,34,F,E3,5/29/2019,5/30/2019,Larva,6/3/2019,NA,6/5/2019,6/11/2019,1,1,2,6/17/2019,M,0,0,7,13,6,dead adult- slightly deformed,6/3/2019,IR,Larva,NA,136,1361,3.133858125,0.26,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.575,0.05,0.65
79,79,34,F,E3,5/29/2019,5/30/2019,None,NA,NA,6/5/2019,6/12/2019,1,1,2,6/20/2019,M,0,0,7,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,80,34,F,E3,5/29/2019,5/30/2019,Pupa,NA,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death as 3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,81,34,F,E10,5/29/2019,5/30/2019,Larva,NA,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 4th, hanging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,82,34,F,E10,5/29/2019,5/30/2019,Pupa,NA,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,dead as 3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,83,34,F,E10,5/29/2019,5/30/2019,Larva,6/4/2019,6/8/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"death as 4th, shriveled",6/4/2019,IR,Larva,0.5033,31.625,317.25,2.501401631,0.681415929,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,0.026548673,0.292035398
84,84,34,F,E10,5/29/2019,5/30/2019,Larva,NA,6/4/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,85,34,F,E10,5/29/2019,5/30/2019,Pupa,NA,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 3rd, brown caterpillar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,86,34,F,E10,5/29/2019,5/30/2019,Larva,NA,6/5/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Death as 4th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,87,34,F,E10,5/29/2019,5/30/2019,Larva,6/5/2019,6/6/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Death as 4th, brown",6/5/2019,IR,Larva,0.6,10,101,2.004321374,0.261904762,0.047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130952381,0.55952381
